Paper number,Strain,Inoculum size (initial biomass),Time (d),Preculture conditions,Type of substrate,Substrate mg/L,N source,mg N/L,C/N (molar base),g substrate COD/L,Medium ,Medium supplementation,"Supp concentration, mg/L",Biomass (mg dw/L),% PHB,PHB (mg/L),PHB yield,"Composition of PHA, 3HB Mol%","Composition of PHA, 3HV Mol%",Illumination ,O2 conditions,Illumination (lux),T (°C),DOI
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.41,214.755,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;NH4Cl, 1.0; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,500,470,23.25,109.275,,73.70,26.30,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.51,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,1000,570,49.06,279.642,,70.19,29.80,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,1.47,217.02,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,2000,490,36.33,178.017,,77.18,22.82,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,2.47,218.53,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,3000,410,16.78,68.798,,81.98,18.01,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,1.85,214.92,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,500,520,15.19,78.988,,87.44,12.56,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,2.62,215.84,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,1000,500,29.84,149.2,,85.64,14.36,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,4.12,217.68,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,2000,440,20.31,89.364,,71.13,28.87,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,5.88,219.52,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,3000,390,17.43,67.977,,62.39,37.61,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,2.79,7.18,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate","Hydroxybutyrate= 1000, Valerate = 3000","1000, 3000",490,26.77,131.173,,57.66,42.33,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,1.41,3.54,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate","Hydroxybutyrate= 1000, Valerate = 1000","1000, 1000",520,46.26,240.552,,66.61,33.38,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5222,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,2.69,6.56,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate","Hydroxybutyrate= 3000, Valerate = 1000","3000, 1000",660,54.71,361.086,,48.47,51.52,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),6,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.51,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,1000,420,11.26,47.292,,72.57,27.42,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),8,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.51,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,1000,500,29.13,145.65,,68.67,31.32,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),10,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.51,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,1000,610,54.17,330.437,,66.59,33.41,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.51,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,1000,490,39.47,193.403,,65.07,34.92,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),14,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.51,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Hydroxybutyrate,1000,450,37.34,168.03,,57.17,42.82,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),6,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.82,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,1000,330,14.22,46.926,,76.15,23.84,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),8,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.82,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,1000,380,23.20,88.16,,74.05,25.94,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),10,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.82,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,1000,450,37.40,168.3,,69.13,30.86,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),12,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.82,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,1000,510,29.16,148.716,,67.03,32.96,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
1,Rhodopseudomonas palustris SP5212,(O.D. 0.5 at 650 nm) at 2.0% (v/v),14,0.2 Malate g/L,Acetate,200,NH4Cl,1000,0.73,215.82,"g/L, acetate, 0.2; K2HPO4, 0.9;KH2PO4, 0.6;MgCl2, 0.2; nicotinic acid, 0.005, EDTA, 0.02;; yeast extract, 1.0 (pH 6.8)). Alkanoic acids were supplemented as the cosubstrate",Valerate,1000,490,25.16,123.284,,63.96,36.03,continuous,microaerophilic,10000,30,Mukhopadhyay et al. 2013
2,Rhodovulum sulfidophilum (E6 mutant),OD of∼0.15 form a culture grown until OD of 2.0,3,,Malate,3000,NH4Cl,680,3.71,3.3,"520-Growth Medium (520GM), which contained the following components per liter: 0.5 g of KH2PO4, 0.25 g of CaCl2·2H2O, 3.0 g of MgSO4·7H2O, 0.68 g of NH4Cl, 20 g of NaCl, 3.0 g of sodium L-malate, 3.0 g of sodium pyruvate, 0.4 g of yeast extract, 2 mg of vitamin B12, 0.25 mg of ferric citrate and micronutrients, including 70 μg of ZnCl2, 100 μg of MnCl2·4H2O, 60 μg of H3BO3, 200 μg of CoCl2·6H2O, 20 μg of CuCl2·2H2O, 20 μg of NiCl2·6H2O, and 40 μg of Na2MoO4·2H2O.",Sodium pyruvate,3000,2200,47,1034,,,,continuous,,LED 730 nm and 30 Wm-2 irradiation,30,"Foong et al., 2022"
